map_park_n,the_geom,perimeter,gis_fd_pk,x,y,sqft,acres
Maritime Plaza,"MULTIPOLYGON (((-122.39937368195233 37.795251584142925, -122.40022527348452 37.795143066437575, -122.40034703172758 37.79580084541508, -122.39950701378054 37.795907911174126, -122.39948791385861 37.79581391136434, -122.39946399427802 37.795816957680906, -122.39936885565143 37.795348631419316, -122.39939277508508 37.79534558512184, -122.39937368195233 37.795251584142925), (-122.39995170690533 37.79523355862064, -122.39973557497535 37.79526109565338, -122.39984604793301 37.795809098313036, -122.40006218008516 37.79578156006582, -122.40003319163826 37.79563775309895, -122.40017814575774 37.79561934972547, -122.40012356971238 37.79534865225114, -122.39997861722756 37.795367048286884, -122.39995170690533 37.79523355862064)), ((-122.3990798717474 37.7959623504164, -122.3982486490568 37.79606828731236, -122.39811532718826 37.795411924696694, -122.39894654199985 37.79530601153617, -122.39896563588471 37.79540001152643, -122.39898955535143 37.795396965310765, -122.39908469196584 37.79586530430365, -122.39906077104685 37.79586835055943, -122.3990798717474 37.7959623504164), (-122.39858309679295 37.79540795568009, -122.39836695745382 37.7954354954878, -122.39839830285432 37.79558979701632, -122.39825337267872 37.79560833251936, -122.39830202554171 37.79584783120036, -122.398446956199 37.79582929667416, -122.39847825366596 37.795983395848125, -122.39869438656768 37.79595584975052, -122.39858309679295 37.79540795568009)))",3208.81485339,142,-122.39923889,37.79560513,87675.91826577,2.01276212
Victoria Manalo Draves Park,"MULTIPOLYGON (((-122.40553159596921 37.77628069135895, -122.40686918601729 37.77735273839367, -122.40638068542194 37.77773861565803, -122.40504093330472 37.77666655353735, -122.40553159596921 37.77628069135895)))",1498.02110324,169,-122.40595532,37.77700947,109593.91889003,2.51593018
Crocker Amazon Playground,"MULTIPOLYGON (((-122.43354460197526 37.713253955685026, -122.43274041810346 37.71436994339447, -122.43269836500048 37.71435459963671, -122.43107928592099 37.716499336214085, -122.4305099608167 37.716375433570676, -122.43047723474137 37.71636830794862, -122.43038876990903 37.7163490546846, -122.43014660364395 37.71629634896732, -122.42979427875802 37.71621966482591, -122.42944819260462 37.716144340623124, -122.42920624804546 37.71609168013721, -122.4288606196084 37.716016453462615, -122.42851653848949 37.715941560027055, -122.42827430273498 37.71588883505896, -122.42776602988837 37.715778198201924, -122.42730628143667 37.715678129678146, -122.42710616669966 37.71563456364383, -122.42702133624066 37.71561610331632, -122.42725261551172 37.714892021892574, -122.42530498491325 37.7143906023696, -122.42655700873135 37.711654642401186, -122.4266862803018 37.711693151659446, -122.42681515226114 37.71173153674859, -122.42697270618349 37.711778471908026, -122.42717741770225 37.711839453538126, -122.42746864796904 37.711926201720296, -122.4275768260414 37.71168019540302, -122.42788610722953 37.71181994624849, -122.4281942956204 37.71196122088351, -122.42831570803989 37.71201585660979, -122.42843397631755 37.71206689301022, -122.42855334067636 37.71211627926611, -122.42867378112307 37.71216399912167, -122.42879524145259 37.71221004831265, -122.42891770542137 37.71225440430457, -122.42904111655473 37.71229705247543, -122.42916544725041 37.71233798498442, -122.42929066061753 37.71237718792535, -122.42962574426312 37.71244515496976, -122.43146365208963 37.71281789619622, -122.43354460197526 37.713253955685026)))",6738.88642839,164,-122.42923866,37.7140459,2459411.28095775,56.46031407
Dearborn Community Garden,"MULTIPOLYGON (((-122.42291623023473 37.762279761503976, -122.42293301813828 37.76245502119992, -122.4225708318495 37.76247690827401, -122.42255404476852 37.76230164749139, -122.42291623023473 37.762279761503976)))",338.00013279,137654,-122.42274353,37.76237833,6720.00578518,0.1542701
Angelo J. Rossi Playground,"MULTIPOLYGON (((-122.45689530127527 37.77815103129202, -122.45689619429447 37.77815430237634, -122.45689695652213 37.77815682125109, -122.45689776673392 37.778159327930695, -122.45689862626212 37.77816182342933, -122.4568995494069 37.77816430543713, -122.45690052056307 37.77816677628558, -122.45690155011592 37.77816923372984, -122.4569026353737 37.77817167470583, -122.45690376858822 37.77817410245094, -122.45690496011764 37.77817651368453, -122.45690619946737 37.77817890650825, -122.45690749449473 37.77818128182794, -122.45690883995246 37.77818363869447, -122.45691024108781 37.77818597805701, -122.45691168471438 37.77818829495318, -122.45691319051625 37.7781905932013, -122.45691473878209 37.77819286794723, -122.45691633620066 37.77819512529749, -122.45691799046537 37.77819735994313, -122.4569196858891 37.77819957110826, -122.45692143013807 37.778201752448304, -122.456923223567 37.7782039174284, -122.45692506582117 37.778206052583315, -122.45692695836927 37.778208164106175, -122.45692889066225 37.77821024802707, -122.45693087308551 37.77821230210118, -122.4569328966678 37.77821433269481, -122.45693496244127 37.77821632942846, -122.45693707720363 37.778218302551664, -122.45693923298866 37.778220247015426, -122.45694143096486 37.778222157619226, -122.45694367124132 37.778224038506224, -122.45694595254045 37.778225890733744, -122.45694827603069 37.77822770910132, -122.45695063385492 37.77822949270308, -122.45695303267445 37.77823124660963, -122.45695547354865 37.77823296147728, -122.45695794892059 37.77823464779384, -122.45696045862653 37.778236299344535, -122.45696301052354 37.77823791703527, -122.45696559006592 37.7782394938538, -122.45696821049438 37.77824103683396, -122.45697085875922 37.77824254619239, -122.45697354119426 37.778244014570305, -122.45697625799053 37.77824544921816, -122.45697900245939 37.77824684402962, -122.45698178109845 37.778248197860535, -122.45698458760108 37.77824951910547, -122.45698742827393 37.77825079936991, -122.45699028878946 37.778252039927814, -122.45699317684111 37.778253235470416, -122.45699609139675 37.778254396377136, -122.45699903495724 37.77825551846153, -122.45700199686438 37.77825659361063, -122.45700498647135 37.77825762995906, -122.45700799722594 37.778258626579316, -122.4570110276594 37.77825957727841, -122.45701407796284 37.778260489306824, -122.45701714938663 37.7782613605713, -122.45702023921157 37.77826218697204, -122.45702335002035 37.778262967429924, -122.45702647417413 37.778263709325444, -122.45702961148194 37.77826440540807, -122.45703276863232 37.7782650617842, -122.45703593880012 37.77826566716855, -122.45703912228569 37.77826623295472, -122.45704231764749 37.77826675398541, -122.45704551963827 37.7782672293116, -122.45704873497405 37.778267666075365, -122.45705196329997 37.77826805081155, -122.45705519061606 37.77826839722368, -122.45705842961735 37.778268691629826, -122.45706167674359 37.77826894756028, -122.45706492788888 37.77826915782947, -122.4570681855267 37.77826931721514, -122.45707144215459 37.77826943827675, -122.45707469741785 37.77826950754906, -122.45707795816882 37.7782695373532, -122.45708122557606 37.77826952248851, -122.45708448384326 37.778269458036114, -122.4570877421872 37.77826934695166, -122.45709099821623 37.77826919756478, -122.45709424638297 37.77826899753271, -122.45709749351244 37.77826875814077, -122.4571007314746 37.778268468125326, -122.45710396970452 37.77826813872831, -122.45710719876712 37.77826775870774, -122.45847290195356 37.77809831427842, -122.45855723802514 37.77926227714367, -122.4568161220121 37.7794782957235, -122.45677119095234 37.77948687855419, -122.45674654083548 37.77949209790405, -122.45672200806332 37.779497658295405, -122.45669760291186 37.779503553340355, -122.45667332818186 37.77950979024625, -122.45664919675923 37.77951636258174, -122.45662521514153 37.77952326920295, -122.4566237521613 37.77952368725353, -122.45662260479145 37.77952399333362, -122.4566214569849 37.77952428284119, -122.45662029580093 37.7795245601359, -122.45661913273888 37.77952481570084, -122.45661796940388 37.77952506090788, -122.45661679108626 37.77952528253017, -122.45661561380068 37.7795254937729, -122.45661443474627 37.77952568742898, -122.45661324873019 37.77952586462082, -122.4566120557525 37.77952602534836, -122.4566108610059 37.779526168489255, -122.45660966582268 37.77952629505757, -122.4566084715078 37.77952640503169, -122.45660726906274 37.77952650374212, -122.45660606601736 37.7795265796653, -122.45660485601036 37.7795266391242, -122.45660365225548 37.77952668811695, -122.45660244787298 37.77952671328669, -122.45660123652888 37.77952672199215, -122.4566000314096 37.77952671919568, -122.45659882571726 37.77952669464775, -122.45659761972482 37.77952665870617, -122.456596413132 37.779526599977316, -122.45659520623902 37.77952652985489, -122.45659400527072 37.77952643683687, -122.45659280533454 37.77952633343933, -122.45659161132312 37.77952620714623, -122.45659041701147 37.77952606945956, -122.45658922223595 37.7795259141645, -122.45658803357615 37.77952574322438, -122.45658685228248 37.77952555454599, -122.45658567055222 37.779525349295064, -122.45658450140807 37.77952512621918, -122.45658332532967 37.77952488771481, -122.45658216458382 37.779524636521145, -122.45658100848496 37.77952436348939, -122.45657985336366 37.77952407800655, -122.45657871088311 37.77952377677033, -122.45657756793872 37.77952345792576, -122.45657643907646 37.779523128485145, -122.4565753110553 37.7795227814145, -122.4565741954839 37.77952241134007, -122.45657308630109 37.77952203597838, -122.456571984348 37.779521637699496, -122.45657089647712 37.779521228824535, -122.45656981466732 37.7795208022329, -122.45656874038741 37.77952036411774, -122.45656767872099 37.7795199092134, -122.45656662444802 37.779519437606574, -122.4565655842299 37.779518954367894, -122.45656455790295 37.77951845328261, -122.4565635378282 37.77951794173121, -122.45656252397833 37.77951741867792, -122.45656153184959 37.77951687764806, -122.45656054580934 37.77951631993737, -122.45655957515629 37.779515751608926, -122.4565586159208 37.77951517065619, -122.45655766554752 37.77951457919394, -122.45655673428539 37.779513969798515, -122.45655581188542 37.779513349893655, -122.45655490876045 37.779512718270276, -122.45655401300155 37.77951206890859, -122.45655313798633 37.77951141402148, -122.45655227688957 37.7795107423236, -122.45655142199041 37.77951005808802, -122.45655058916718 37.779509369341085, -122.45654977676011 37.77950866263928, -122.45654897057794 37.779507944435586, -122.45654818644442 37.779507220684756, -122.4565474148971 37.77950647910904, -122.45654665890065 37.779505733130286, -122.45654592215185 37.77950497439724, -122.45654520076296 37.7795042040107, -122.45654450011769 37.77950342809866, -122.45654381222231 37.779502640576446, -122.45654314621189 37.779501841292436, -122.45654249442008 37.77950103659123, -122.45654185668312 37.7795002202582, -122.45654124605115 37.779499392076694, -122.4565406432492 37.77949856376527, -122.45654006872074 37.779497718404826, -122.45653950724234 37.77949687282779, -122.45653896764884 37.77949601548891, -122.45653844094171 37.779495151718805, -122.4565379428082 37.779494282293264, -122.45653745223188 37.77949340237996, -122.45653699033832 37.77949252095438, -122.45653654771972 37.77949162781032, -122.45653612062473 37.779490729227476, -122.45653571440981 37.77948983029804, -122.45653532877478 37.779488919628506, -122.45653496401984 37.77948800861245, -122.45653461348346 37.779487092179224, -122.45653429149351 37.779486169054785, -122.45653398372212 37.779485240513225, -122.45653369666712 37.779484305410435, -122.45653343848589 37.779483376045874, -122.4565331943596 37.77948243504946, -122.4565329711133 37.77948149370651, -122.45653276858337 37.77948054580235, -122.45627823880734 37.77823001954549, -122.45658433634706 37.77819083615622, -122.45673833809687 37.778171122129656, -122.45689530127527 37.77815103129202)), ((-122.4580445972001 37.778012468977856, -122.45765402458498 37.7780609292092, -122.45759054081961 37.77774907495872, -122.4575989398203 37.77774800184077, -122.45768433582018 37.777737070083624, -122.45776973965204 37.77772613917037, -122.4578551356016 37.777715207289525, -122.45794053141687 37.77770427120362, -122.45798081649484 37.77769911833212, -122.4580445972001 37.778012468977856)))",2609.5213215,105,-122.45745402,37.77874186,281884.53448988,6.47117847
